App_Name,Framework,Strategy,Profile,Page_Name,Page_Path,Tested_URL,Final_URL,Total_Runs,First Contentful Paint_Avg_Value,First Contentful Paint_Avg_Score_%,First Contentful Paint_Min_Value,First Contentful Paint_Max_Value,Largest Contentful Paint_Avg_Value,Largest Contentful Paint_Avg_Score_%,Largest Contentful Paint_Min_Value,Largest Contentful Paint_Max_Value,Speed Index_Avg_Value,Speed Index_Avg_Score_%,Speed Index_Min_Value,Speed Index_Max_Value,Interactive_Avg_Value,Interactive_Avg_Score_%,Interactive_Min_Value,Interactive_Max_Value,Total Blocking Time_Avg_Value,Total Blocking Time_Avg_Score_%,Total Blocking Time_Min_Value,Total Blocking Time_Max_Value,Cumulative Layout Shift_Avg_Value,Cumulative Layout Shift_Avg_Score_%,Cumulative Layout Shift_Min_Value,Cumulative Layout Shift_Max_Value
"Next.js CSR",Next.js,"Client-Side Rendering",SLOW4G,"Blog List",/blog,https://render-strategy-demo-csr-next-app-c.vercel.app/blog,https://render-strategy-demo-csr-next-app-c.vercel.app/blog/,10,0.84,100,0.78,1.27,3.44,65,3.26,3.68,1.56,98,1.18,4.04,3.44,92,3.27,3.68,53.5,100,41,72,0.02,100,0,0.025
"Nuxt.js CSR",Nuxt.js,"Client-Side Rendering",SLOW4G,"Blog List",/blog,https://render-strategy-demo-csr-nuxt-app-c.vercel.app/blog,https://render-strategy-demo-csr-nuxt-app-c.vercel.app/blog,10,2.5,67,1.67,2.64,2.67,86,2.64,2.75,4.29,75,2.69,4.53,2.68,97,2.64,2.75,19.9,99,0,199,0.03,100,0.029,0.029
"SvelteKit CSR",SvelteKit,"Client-Side Rendering",SLOW4G,"Blog List",/blog,https://render-strategy-demo-csr-sveltekit.vercel.app/blog,https://render-strategy-demo-csr-sveltekit.vercel.app/blog,10,2.6,63,2.58,2.72,2.78,84,2.73,3.01,4.27,76,4.23,4.31,2.78,97,2.73,3.01,0,100,0,0,0,100,0,0
"Next.js SSR",Next.js,"Server-Side Rendering",SLOW4G,"Blog List",/blog,https://render-strategy-demo-next-app-ssr.vercel.app/blog,https://render-strategy-demo-next-app-ssr.vercel.app/blog,10,0.99,100,0.96,1.02,3.27,72,2.76,6,1.75,100,1.5,2.9,3.27,93,2.76,6,2.1,100,0,18,0,100,0,0
"Nuxt.js SSR",Nuxt.js,"Server-Side Rendering",SLOW4G,"Blog List",/blog,https://render-strategy-demo-nuxt-app-ssr.vercel.app/blog,https://render-strategy-demo-nuxt-app-ssr.vercel.app/blog,10,1.85,88,1.81,1.94,2.79,83,2.74,2.88,2.16,98,1.83,3.63,2.79,97,2.74,2.88,0,100,0,0,0.03,100,0.029,0.029
"SvelteKit SSR",SvelteKit,"Server-Side Rendering",SLOW4G,"Blog List",/blog,https://render-strategy-demo-sveltekit-app.vercel.app/blog,https://render-strategy-demo-sveltekit-app.vercel.app/blog,10,2.59,63,1.83,2.89,3.14,74,2.9,4.01,3.73,82,1.87,4.78,3.14,94,2.9,4.01,5.5,100,0,55,0.01,100,0,0.029
"Next.js SSG",Next.js,"Static Site Generation",SLOW4G,"Blog List",/blog,https://render-strategy-demo-next-app-ssg.vercel.app/blog,https://render-strategy-demo-next-app-ssg.vercel.app/blog/,10,0.97,100,0.96,0.99,2.71,85,2.53,2.91,1.79,99,1,2.36,2.73,97,2.54,2.91,13.1,100,0,40,0,100,0,0
"Nuxt.js SSG",Nuxt.js,"Static Site Generation",SLOW4G,"Blog List",/blog,https://render-strategy-demo-nuxt-app-ssg.vercel.app/blog,https://render-strategy-demo-nuxt-app-ssg.vercel.app/blog,10,2.75,58,2.74,2.76,3.07,76,2.89,3.53,3.53,87,3.08,4.34,3.07,95,2.89,3.53,0,100,0,0,0,100,0,0
"SvelteKit SSG",SvelteKit,"Static Site Generation",SLOW4G,"Blog List",/blog,https://render-strategy-demo-sveltekit-app-nine.vercel.app/blog,https://render-strategy-demo-sveltekit-app-nine.vercel.app/blog,10,2.61,63,2.59,2.66,2.84,82,2.75,3.04,3.2,91,3.04,4.48,2.84,97,2.75,3.04,0,100,0,0,0,100,0,0
"Next.js ISR",Next.js,"Incremental Static Regeneration",SLOW4G,"Blog List",/blog,https://render-strategy-demo-next-app-isr.vercel.app/blog,https://render-strategy-demo-next-app-isr.vercel.app/blog,10,1.03,100,0.99,1.17,2.69,85,2.55,2.94,2.22,99,1.02,3.05,2.7,97,2.58,2.94,19.4,100,1,67,0,100,0,0
"Nuxt.js ISR",Nuxt.js,"Incremental Static Regeneration",SLOW4G,"Blog List",/blog,https://render-strategy-demo-nuxt-app-isr.vercel.app/blog,https://render-strategy-demo-nuxt-app-isr.vercel.app/blog,10,2.76,58,2.74,2.78,2.76,84,2.74,2.78,3.95,80,2.94,4.41,2.76,97,2.74,2.78,0,100,0,0,0,100,0,0
"SvelteKit ISR",SvelteKit,"Incremental Static Regeneration",SLOW4G,"Blog List",/blog,https://render-strategy-demo-sveltekit-app-rho.vercel.app/blog,https://render-strategy-demo-sveltekit-app-rho.vercel.app/blog,10,2.59,64,2.58,2.61,2.82,82,2.74,3.05,3.42,88,2.99,4.29,2.82,97,2.74,3.05,0,100,0,0,0,100,0,0